resample,threshold,oob_cpwer,oob_compute,n_oob,n_escalated_oob,oob_fraction,escalation_fraction_oob
332,0.01,0.799007,1.33631,28,22,0.363636,0.785714
333,0.01,0.77266,1.361151,32,27,0.415584,0.84375
334,0.01,0.829491,1.366884,28,24,0.363636,0.857143
335,0.01,0.633219,1.397457,28,26,0.363636,0.928571
336,0.01,0.807081,1.354233,29,24,0.376623,0.827586
337,0.01,0.778835,1.339473,29,23,0.376623,0.793103
338,0.01,0.762758,1.368992,29,25,0.376623,0.862069
339,0.01,0.675166,1.36218,26,22,0.337662,0.846154
340,0.01,0.745278,1.364619,27,23,0.350649,0.851852
341,0.01,0.732916,1.356693,24,20,0.311688,0.833333
342,0.01,0.732786,1.36218,26,22,0.337662,0.846154
343,0.01,0.918387,1.348766,27,22,0.350649,0.814815
344,0.01,0.769779,1.378643,26,23,0.337662,0.884615
345,0.01,0.804084,1.313889,30,22,0.38961,0.733333
346,0.01,0.786232,1.364619,27,23,0.350649,0.851852
347,0.01,0.848894,1.338858,24,19,0.311688,0.791667
348,0.01,0.824683,1.31706,27,20,0.350649,0.740741
349,0.01,0.791135,1.339473,29,23,0.376623,0.793103
350,0.01,0.648506,1.397457,28,26,0.363636,0.928571
351,0.01,0.786118,1.345186,31,25,0.402597,0.806452
352,0.01,0.807122,1.392362,24,22,0.311688,0.916667
353,0.01,0.68281,1.368992,29,25,0.376623,0.862069
354,0.01,0.844383,1.356693,24,20,0.311688,0.833333
355,0.01,0.77296,1.385228,30,27,0.38961,0.9
356,0.01,0.808267,1.368992,29,25,0.376623,0.862069
357,0.01,0.808714,1.356693,30,25,0.38961,0.833333
358,0.01,0.830287,1.329255,26,20,0.337662,0.769231
359,0.01,0.878255,1.345717,26,21,0.337662,0.807692
360,0.01,0.751643,1.356693,30,25,0.38961,0.833333
361,0.01,0.725555,1.332913,36,28,0.467532,0.777778
362,0.01,0.806095,1.348766,27,22,0.350649,0.814815
363,0.01,0.713475,1.397457,28,26,0.363636,0.928571
364,0.01,0.745458,1.351597,28,23,0.363636,0.821429
365,0.01,0.736642,1.345186,31,25,0.402597,0.806452
366,0.01,0.754375,1.351597,28,23,0.363636,0.821429
367,0.01,0.802161,1.354233,29,24,0.376623,0.827586
