pair_id,overlap_ratio,snr_db,cr_sep1,cr_sep2,cer_mixed,cer_sep,cer_energy_trim,cer_flatness_gate,cer_flatness_relenergy_gate,fired_energy_trim,fired_flatness_gate,fired_flatness_relenergy_gate
9,0.0,10.0,0.7105,1.0385,0.483871,0.451613,0.451613,0.419355,0.387097,0,1,1
9,0.0,5.0,0.7317,0.9273,0.580645,0.548387,0.548387,0.645161,0.612903,0,1,1
9,0.0,0.0,0.8889,1.0364,0.580645,0.806452,0.806452,0.806452,0.935484,0,0,1
9,0.1,None,0.7179,0.8667,0.322581,0.580645,0.580645,0.580645,0.580645,1,1,1
9,0.1,20.0,0.7556,0.9516,0.193548,0.258065,0.258065,0.516129,0.516129,0,1,1
9,0.1,10.0,0.7381,0.931,0.451613,0.483871,0.483871,0.483871,0.483871,0,1,1
9,0.1,5.0,0.7317,0.9474,0.419355,0.419355,0.419355,0.419355,0.387097,0,1,1
9,0.1,0.0,0.6562,0.8136,0.709677,0.677419,0.677419,0.774194,0.83871,0,1,1
9,0.3,None,0.775,0.8525,0.290323,0.580645,0.580645,0.580645,0.580645,1,1,1
9,0.3,20.0,0.7179,0.9667,0.451613,0.322581,0.322581,0.580645,0.580645,0,1,1
9,0.3,10.0,0.7105,0.9818,0.645161,0.483871,0.483871,0.580645,0.580645,0,1,1
9,0.3,5.0,0.9706,0.7925,0.709677,0.645161,0.645161,0.483871,0.451613,0,1,1
9,0.3,0.0,0.5,0.931,0.677419,0.83871,0.83871,0.83871,0.903226,0,1,1
9,0.6,None,0.775,0.8667,0.548387,0.580645,0.580645,0.580645,0.580645,1,1,1
9,0.6,20.0,0.7179,0.8667,0.677419,0.580645,0.580645,0.580645,0.580645,0,1,1
9,0.6,10.0,0.75,0.9818,0.645161,0.387097,0.387097,0.387097,0.451613,0,1,1
9,0.6,5.0,0.766,0.8136,0.741935,0.483871,0.483871,0.645161,0.645161,0,1,1
9,0.6,0.0,0.973,0.8226,0.903226,0.677419,0.677419,0.548387,0.612903,0,1,1
10,0.0,None,0.8571,0.7429,0.307692,0.410256,0.410256,0.410256,0.410256,1,1,1
10,0.0,20.0,0.9176,0.7632,0.410256,0.333333,0.333333,0.333333,0.333333,0,1,1
10,0.0,10.0,0.9205,0.7941,1.307692,0.538462,0.538462,0.589744,0.589744,0,1,1
10,0.0,5.0,0.9868,0.6667,0.717949,0.641026,0.641026,6.25641,6.25641,0,1,1
10,0.0,0.0,0.0,1.1111,0.948718,0.897436,0.897436,0.897436,0.948718,0,0,1
10,0.1,None,0.8571,0.7429,0.435897,0.410256,0.410256,0.384615,0.384615,1,1,1
10,0.1,20.0,0.9176,0.7632,0.384615,0.333333,0.333333,0.384615,0.333333,0,1,1
10,0.1,10.0,0.9101,0.8462,0.487179,0.512821,0.512821,0.435897,0.435897,0,1,1
10,0.1,5.0,1.0,26.76,0.692308,6.051282,6.051282,0.717949,0.717949,0,1,1
10,0.1,0.0,0.0,0.8276,1.0,0.923077,0.923077,0.923077,0.948718,0,0,1
10,0.3,None,0.8571,0.7714,0.384615,0.461538,0.410256,0.410256,0.410256,1,1,1
10,0.3,20.0,0.9176,0.7632,0.410256,0.333333,0.333333,0.358974,0.333333,0,1,1
10,0.3,10.0,0.9419,0.7692,0.538462,0.410256,0.410256,0.410256,0.384615,0,1,1
10,0.3,5.0,0.9,15.4615,0.641026,3.769231,3.769231,0.564103,0.564103,0,1,1
10,0.3,0.0,0.9643,22.3,5.666667,6.076923,6.076923,6.076923,0.897436,0,0,1
